ADIYAMAN ÜNİVERSİTESİ,lisans.php?y=100210141,False,ADIYAMAN,ADIYAMAN ÜNİVERSİTESİ,Sosyoloji,ADIYAMAN,ADIYAMAN ÜNİVERSİTESİ,Sosyoloji
ADIYAMAN ÜNİVERSİTESİ,lisans.php?y=100210186,False,ADIYAMAN,ADIYAMAN ÜNİVERSİTESİ,Tarih,ADIYAMAN,ADIYAMAN ÜNİVERSİTESİ,Tarih
ADIYAMAN ÜNİVERSİTESİ,lisans.php?y=100290060,False,ADIYAMAN,ADIYAMAN ÜNİVERSİTESİ,Tekstil Mühendisliği,ADIYAMAN,ADIYAMAN ÜNİVERSİTESİ,Tekstil Mühendisliği
ADIYAMAN ÜNİVERSİTESİ,lisans.php?y=100210168,False,ADIYAMAN,ADIYAMAN ÜNİVERSİTESİ,Tıp,ADIYAMAN,ADIYAMAN ÜNİVERSİTESİ,Tıp
ADIYAMAN ÜNİVERSİTESİ,lisans.php?y=100290059,False,ADIYAMAN,ADIYAMAN ÜNİVERSİTESİ,Turizm Rehberliği(Fakülte),ADIYAMAN,ADIYAMAN ÜNİVERSİTESİ,Turizm Rehberliği(Fakülte)
ADIYAMAN ÜNİVERSİTESİ,lisans.php?y=100210062,False,ADIYAMAN,ADIYAMAN ÜNİVERSİTESİ,Türk Dili ve Edebiyatı,ADIYAMAN,ADIYAMAN ÜNİVERSİTESİ,Türk Dili ve Edebiyatı
ADIYAMAN ÜNİVERSİTESİ,lisans.php?y=100230039,False,ADIYAMAN,ADIYAMAN ÜNİVERSİTESİ,Türk Dili ve Edebiyatı(İÖ),ADIYAMAN,ADIYAMAN ÜNİVERSİTESİ,Türk Dili ve Edebiyatı(İÖ)
ADIYAMAN ÜNİVERSİTESİ,lisans.php?y=100210114,False,ADIYAMAN,ADIYAMAN ÜNİVERSİTESİ,Türkçe Öğretmenliği,ADIYAMAN,ADIYAMAN ÜNİVERSİTESİ,Türkçe Öğretmenliği
ADIYAMAN ÜNİVERSİTESİ,lisans.php?y=100210398,False,ADIYAMAN,ADIYAMAN ÜNİVERSİTESİ,Ziraat Mühendisliği Programları,ADIYAMAN,ADIYAMAN ÜNİVERSİTESİ,Ziraat Mühendisliği Programları
AFYON KOCATEPE ÜNİVERSİTESİ,lisans.php?y=100410969,False,AFYONKARAHİSAR,AFYON KOCATEPE ÜNİVERSİTESİ,Bankacılık ve Sigortacılık(Yüksekokul),AFYONKARAHİSAR,AFYON KOCATEPE ÜNİVERSİTESİ,Bankacılık ve Sigortacılık(Yüksekokul),AFYONKARAHİSAR,AFYON KOCATEPE ÜNİVERSİTESİ,Bankacılık ve Sigortacılık(Yüksekokul)
